ds,Competitor_handle,yhat,yhat_lower,yhat_upper
2023-02-28,Comp_A_RetailFusion,59990.0763789451,59880.83863084954,60088.30177945788
2023-03-01,Comp_A_RetailFusion,60072.909955723175,59974.94254236914,60167.07070932498
2023-03-03,Comp_A_RetailFusion,60205.86411201655,60109.144090055954,60305.44172906
2023-03-05,Comp_A_RetailFusion,60340.27124180731,60239.73939527192,60442.61545417923
2023-03-07,Comp_A_RetailFusion,60492.80021648027,60398.771850859244,60597.260592641105
2023-03-09,Comp_A_RetailFusion,60641.358382893544,60539.74631468785,60739.706614958486
2023-03-10,Comp_A_RetailFusion,60715.19443059365,60607.051284263514,60818.02645235516
2023-03-12,Comp_A_RetailFusion,60864.625970504196,60761.977318393365,60963.86609773169
2023-03-13,Comp_A_RetailFusion,60951.627563343056,60849.35234876482,61052.9625263366
2023-03-14,Comp_A_RetailFusion,61038.263876564466,60932.35399713813,61136.920482384296
2023-03-15,Comp_A_RetailFusion,61113.320635962096,61021.47868359557,61222.54968828021
2023-03-16,Comp_A_RetailFusion,61172.15582618368,61078.08776491885,61284.81627032791
2023-03-17,Comp_A_RetailFusion,61239.08985940322,61133.65795533761,61335.88424776545
2023-03-19,Comp_A_RetailFusion,61373.8559429393,61271.53783833195,61466.51743349412
2023-03-21,Comp_A_RetailFusion,61529.588618207126,61430.20748431749,61629.04173024584
2023-03-23,Comp_A_RetailFusion,61679.51208895227,61578.74360659457,61782.85254897122
2023-03-24,Comp_A_RetailFusion,61751.99584308447,61656.158379705645,61861.15138529277
2023-03-26,Comp_A_RetailFusion,61892.398483931094,61796.909701756544,61988.32578701235
2023-03-27,Comp_A_RetailFusion,61971.021017436215,61877.22426417655,62066.62077391626
2023-03-29,Comp_A_RetailFusion,62126.68187891149,62028.84602415317,62231.895955541244
2023-03-31,Comp_A_RetailFusion,62253.59475119616,62156.66762038917,62352.52014690647
2023-04-01,Comp_A_RetailFusion,62320.15950741696,62221.47874885767,62414.495273036424
2023-04-03,Comp_A_RetailFusion,62446.70505271735,62346.865445705815,62549.155403241675
2023-04-05,Comp_A_RetailFusion,62582.39140103462,62480.85460287818,62681.634530513176
2023-04-06,Comp_A_RetailFusion,62633.37150523078,62540.36859198331,62734.90982088706
2023-04-08,Comp_A_RetailFusion,62747.22667725679,62647.88945740563,62843.719761217355
2023-04-10,Comp_A_RetailFusion,62916.93866467853,62819.28774147057,63016.16228362751
2023-04-12,Comp_A_RetailFusion,63100.48603495255,62999.828660191575,63206.610571497695
2023-04-14,Comp_A_RetailFusion,63261.1882417911,63156.58426961213,63351.52657998543
2023-04-16,Comp_A_RetailFusion,63427.039116866,63332.17406091986,63522.447533120576
2023-04-18,Comp_A_RetailFusion,63612.94279071494,63514.08870181051,63707.020802290324
2023-04-19,Comp_A_RetailFusion,63712.4292407202,63611.83401444592,63818.12025726641
2023-04-20,Comp_A_RetailFusion,63794.96783787382,63692.83615943124,63899.40806136954
2023-04-22,Comp_A_RetailFusion,63978.25227126081,63877.085385144084,64073.87191592852
2023-04-23,Comp_A_RetailFusion,64064.834319949114,63960.5207880451,64167.688862209005
2023-04-24,Comp_A_RetailFusion,64165.67167637586,64069.15101806649,64270.32629775607
2023-04-25,Comp_A_RetailFusion,64265.055472297674,64158.76286049927,64366.002160875265
2023-04-26,Comp_A_RetailFusion,64371.29627043966,64269.330092681295,64475.33373983297
2023-04-27,Comp_A_RetailFusion,64460.05553981486,64355.25369068461,64558.652238303046
2023-04-29,Comp_A_RetailFusion,64653.50422132917,64557.04012324095,64749.09490049927
2023-04-30,Comp_A_RetailFusion,64743.75559443448,64644.5399863803,64851.2660734914
2023-05-01,Comp_A_RetailFusion,64847.18677856177,64755.363143912764,64951.231905903725
2023-05-03,Comp_A_RetailFusion,65043.30565920459,64949.489692046336,65152.4267120478
2023-05-05,Comp_A_RetailFusion,65213.53669924015,65111.33701488655,65309.52579948076
2023-05-06,Comp_A_RetailFusion,65302.781708418974,65211.611186568145,65403.96136611722
2023-05-08,Comp_A_RetailFusion,65476.47582038973,65377.01762038327,65575.86473978584
2023-05-10,Comp_A_RetailFusion,65661.1959154775,65558.98901747256,65762.34461795556
2023-05-11,Comp_A_RetailFusion,65737.17631044124,65633.50585860488,65837.98106277807
2023-05-12,Comp_A_RetailFusion,65818.68681484598,65724.58312657874,65922.94657751349
2023-05-13,Comp_A_RetailFusion,65901.50555006447,65793.02582994447,66003.28090145746
2023-05-15,Comp_A_RetailFusion,66063.10878022773,65963.0450927061,66162.49216439301
2023-05-17,Comp_A_RetailFusion,66237.78988795796,66138.275385164,66335.26341132217
2023-05-19,Comp_A_RetailFusion,66388.27772361093,66285.88328213379,66493.37584958063
2023-05-21,Comp_A_RetailFusion,66542.16755784408,66442.50938153922,66639.75778361184
2023-05-23,Comp_A_RetailFusion,66714.18740647465,66611.03256071525,66810.02430217649
2023-05-24,Comp_A_RetailFusion,66806.01843351348,66700.89731232701,66901.49618193493
2023-05-26,Comp_A_RetailFusion,66962.00017659366,66861.01886432883,67061.95237819469
2023-05-28,Comp_A_RetailFusion,67123.79660844183,67028.11472671018,67224.16016767686
2023-05-29,Comp_A_RetailFusion,67213.12315770524,67108.40828050558,67309.59569761237
2023-05-31,Comp_A_RetailFusion,67395.31308891776,67299.5136330212,67496.21088160815
2023-06-02,Comp_A_RetailFusion,67556.1390057973,67454.5737850542,67650.12165432007
2023-06-03,Comp_A_RetailFusion,67642.43790165422,67537.64871868146,67739.37768784448
2023-06-04,Comp_A_RetailFusion,67721.29299210919,67612.24804220212,67817.42750041529
2023-06-05,Comp_A_RetailFusion,67813.57881830711,67705.57408895467,67914.40476786192
2023-06-06,Comp_A_RetailFusion,67903.57627618047,67799.22267785172,68004.1963979315
2023-06-07,Comp_A_RetailFusion,67999.60991295327,67899.22736235934,68096.24112767809
2023-06-09,Comp_A_RetailFusion,68161.22386011128,68062.71085216432,68260.56064167531
2023-06-11,Comp_A_RetailFusion,68324.09126654173,68217.14601047647,68423.63042893121
2023-06-13,Comp_A_RetailFusion,68501.33789724026,68400.36941365492,68605.75307442203
2023-06-15,Comp_A_RetailFusion,68667.96733416365,68564.18409261125,68767.94400155424
2023-06-16,Comp_A_RetailFusion,68747.67487004661,68646.19456528267,68844.20271513688
2023-06-17,Comp_A_RetailFusion,68828.84565286234,68721.9285777,68928.8870311929
2023-06-19,Comp_A_RetailFusion,68987.35504268925,68881.36348202432,69092.01097403547
2023-06-20,Comp_A_RetailFusion,69070.19227682485,68968.11792560096,69162.92534820767
2023-06-22,Comp_A_RetailFusion,69202.72235651793,69102.29145663782,69302.15441668752
2023-06-24,Comp_A_RetailFusion,69331.01873307729,69232.18960003597,69430.06112993014
2023-06-25,Comp_A_RetailFusion,69388.3135814874,69285.70734879616,69489.64425745764
2023-06-26,Comp_A_RetailFusion,69458.86518723598,69360.90756029282,69555.65012888027
2023-06-28,Comp_A_RetailFusion,69601.62742964632,69504.55672119923,69707.9322076133
2023-06-30,Comp_A_RetailFusion,69721.30212170703,69620.79811369164,69817.9258482678
2023-07-02,Comp_A_RetailFusion,69844.54314470822,69749.59939404932,69947.3765608083
2023-07-04,Comp_A_RetailFusion,69985.03771988761,69896.15272339879,70088.1329649071
2023-07-06,Comp_A_RetailFusion,70117.88783277299,70014.30995763377,70220.78138624097
2023-07-07,Comp_A_RetailFusion,70181.72876432269,70086.37151882227,70283.55211004644
2023-07-09,Comp_A_RetailFusion,70305.69963075982,70212.30823164925,70406.23736489544
2023-07-11,Comp_A_RetailFusion,70445.563576613,70338.31335285929,70551.45245350899
2023-07-13,Comp_A_RetailFusion,70576.15686265919,70473.19880158988,70672.23860936395
2023-07-14,Comp_A_RetailFusion,70638.24933370657,70530.39929131907,70737.2213492677
2023-07-16,Comp_A_RetailFusion,70757.61505069882,70662.68383790813,70862.52830450045
2023-07-17,Comp_A_RetailFusion,70826.06451907656,70724.42588331073,70923.90664307523
2023-07-19,Comp_A_RetailFusion,70993.6677567444,70894.54104119322,71101.98651060318
2023-07-21,Comp_A_RetailFusion,71136.18963374643,71032.57092938919,71229.16917268642
2023-07-22,Comp_A_RetailFusion,71212.32438741754,71120.0466016187,71312.22116869796
2023-07-23,Comp_A_RetailFusion,71280.59342499716,71178.45192225017,71381.97972987886
2023-07-25,Comp_A_RetailFusion,71441.29650244668,71338.78310206812,71537.10839092977
2023-07-26,Comp_A_RetailFusion,71526.78600388333,71430.85596574441,71624.97961447712
2023-07-27,Comp_A_RetailFusion,71594.47649573968,71502.9299951163,71705.16650119002
2023-07-29,Comp_A_RetailFusion,71745.95402215555,71644.11508644205,71846.7323603489
2023-07-30,Comp_A_RetailFusion,71815.87075628372,71714.22340720781,71915.11727635527
2023-08-01,Comp_A_RetailFusion,71982.13700829278,71876.592987089,72080.59171300377
2023-08-03,Comp_A_RetailFusion,72143.70040335224,72041.15604316501,72247.91127217734
2023-08-05,Comp_A_RetailFusion,72305.87614196245,72211.13062148122,72406.60409440873
2023-08-07,Comp_A_RetailFusion,72471.94479047126,72374.50929637633,72574.45401534079
2023-08-09,Comp_A_RetailFusion,72656.53714238066,72557.20411140638,72757.56124834069
2023-08-11,Comp_A_RetailFusion,72820.77041279759,72719.55603871321,72925.87320036937
2023-08-12,Comp_A_RetailFusion,72909.16110520314,72803.82210906954,73006.22355454744
2023-08-14,Comp_A_RetailFusion,73091.24649001646,72988.69110043917,73193.95922588043
2023-08-15,Comp_A_RetailFusion,73187.101324631,73085.11140409856,73286.71875686903
2023-08-17,Comp_A_RetailFusion,73373.34519495028,73278.61939101979,73471.9035545329
2023-08-18,Comp_A_RetailFusion,73463.74540194246,73364.28925404925,73563.97576960355
2023-08-20,Comp_A_RetailFusion,73640.2876951138,73537.99476991715,73738.93479256285
2023-08-21,Comp_A_RetailFusion,73737.43508170587,73635.27046590435,73836.01481789853
2023-08-23,Comp_A_RetailFusion,73931.72273590871,73831.61646047638,74034.29523570287
2023-08-25,Comp_A_RetailFusion,74100.05931722061,74001.1589655144,74195.99008026806
2023-08-27,Comp_A_RetailFusion,74268.75338882928,74164.73989928162,74364.25315600407
2023-08-29,Comp_A_RetailFusion,74451.64854189455,74343.34453778857,74545.38983395381
2023-08-30,Comp_A_RetailFusion,74547.2993423389,74443.59404482231,74647.74317418264
2023-08-31,Comp_A_RetailFusion,74624.46669809021,74525.07935544619,74718.15556009383
2023-09-01,Comp_A_RetailFusion,74707.6778902427,74608.39402820553,74805.58102591237
2023-09-03,Comp_A_RetailFusion,74869.90330537668,74776.66447350863,74971.85547704171
2023-09-05,Comp_A_RetailFusion,75048.45054155386,74945.43906708859,75145.84904282729
2023-09-07,Comp_A_RetailFusion,75219.41806803024,75120.41303499625,75324.10201183251
2023-09-09,Comp_A_RetailFusion,75381.0993598786,75276.94810690732,75475.7606952095
2023-09-10,Comp_A_RetailFusion,75455.9141962371,75359.61706686618,75563.90794747476
2023-09-12,Comp_A_RetailFusion,75631.3170971196,75524.62834900504,75732.18836950239
2023-09-14,Comp_A_RetailFusion,75800.76539573974,75697.92177386265,75894.40070005556
2023-09-15,Comp_A_RetailFusion,75883.65100547581,75786.88201206429,75984.37573794027
2023-09-16,Comp_A_RetailFusion,75969.12398557676,75871.11452085021,76064.87805903942
2023-09-18,Comp_A_RetailFusion,76139.26373856275,76043.69384247765,76248.51986147188
2023-09-20,Comp_A_RetailFusion,76325.48821139448,76228.83699863167,76424.0612779739
2023-09-21,Comp_A_RetailFusion,76403.87569520377,76306.62074838569,76511.74616236908
2023-09-22,Comp_A_RetailFusion,76488.69747947926,76394.9378054658,76589.42021460886
2023-09-24,Comp_A_RetailFusion,76654.51850745625,76556.21466787776,76754.3253019579
2023-09-26,Comp_A_RetailFusion,76835.76221331376,76731.76517914166,76935.95768217427
2023-09-28,Comp_A_RetailFusion,77006.85408632272,76908.45468795417,77103.35372980837
2023-09-29,Comp_A_RetailFusion,77088.72295411311,76985.23082000663,77181.99291811045
2023-10-01,Comp_A_RetailFusion,77246.36838437857,77147.2137763816,77355.97374090018
2023-10-02,Comp_A_RetailFusion,77333.17214627219,77232.50295745596,77437.46953735211
2023-10-03,Comp_A_RetailFusion,77461.86932359776,77355.83210882403,77563.99915119912
2023-10-04,Comp_A_RetailFusion,77595.5558413152,77495.00670482944,77695.23079589308
2023-10-05,Comp_A_RetailFusion,77709.98562302924,77615.7734155421,77813.38098769485
2023-10-06,Comp_A_RetailFusion,77829.55706794148,77726.00077892301,77923.15996222991
2023-10-07,Comp_A_RetailFusion,77949.93062084037,77844.81756849341,78047.74066794616
2023-10-08,Comp_A_RetailFusion,78061.28872513908,77958.48364511294,78161.98356433302
2023-10-10,Comp_A_RetailFusion,78304.26165483595,78207.34619188806,78403.34335085988
2023-10-12,Comp_A_RetailFusion,78533.7498252944,78432.21993347336,78630.56654623784
2023-10-14,Comp_A_RetailFusion,78754.75069194651,78658.91600983018,78852.60315464079
2023-10-16,Comp_A_RetailFusion,78970.65139930423,78862.24780505331,79062.58035699521
2023-10-17,Comp_A_RetailFusion,79081.13818363888,78979.73712695538,79185.204999735
2023-10-19,Comp_A_RetailFusion,79293.00487390294,79196.86901877791,79395.49796124474
2023-10-20,Comp_A_RetailFusion,79394.78233250062,79291.55129473837,79493.0490976712
2023-10-21,Comp_A_RetailFusion,79497.74550947179,79392.10476971352,79592.65342247619
2023-10-23,Comp_A_RetailFusion,79699.23763318933,79599.60699236016,79803.77637137084
2023-10-24,Comp_A_RetailFusion,79803.37283371614,79704.85815130408,79902.3143451215
2023-10-26,Comp_A_RetailFusion,79967.16185192876,79865.34984437296,80072.02610588874
2023-10-27,Comp_A_RetailFusion,80046.04614811797,79942.69979349899,80139.83255951868
2023-10-28,Comp_A_RetailFusion,80126.96545120697,80022.87565897092,80230.57444142886
2023-10-29,Comp_A_RetailFusion,80200.28594338872,80097.60760249935,80291.53683407705
2023-10-30,Comp_A_RetailFusion,80287.1594307902,80184.98306849501,80388.65176000884
2023-11-01,Comp_A_RetailFusion,80463.86774449926,80360.23897640618,80570.18798221112
2023-11-03,Comp_A_RetailFusion,80620.03220674055,80516.18294766406,80720.5568785374
2023-11-04,Comp_A_RetailFusion,80704.95330294406,80603.72054669696,80795.80239592983
2023-11-06,Comp_A_RetailFusion,80876.57629500754,80778.83716002025,80968.85075111412
2023-11-08,Comp_A_RetailFusion,81069.11273429572,80971.49417640039,81173.98426162745
2023-11-10,Comp_A_RetailFusion,81245.06959146538,81146.04387925383,81345.42901859408
2023-11-11,Comp_A_RetailFusion,81341.16286393143,81240.40988737094,81437.35275758647
2023-11-12,Comp_A_RetailFusion,81431.5087979017,81330.97170793317,81526.0749770884
2023-11-13,Comp_A_RetailFusion,81537.11804027378,81435.7702995685,81636.1709006883
2023-11-15,Comp_A_RetailFusion,81755.72031633148,81663.18374649607,81855.97494510394
2023-11-16,Comp_A_RetailFusion,81822.40399080401,81724.51191493482,81926.98998687755
2023-11-18,Comp_A_RetailFusion,81975.93780998883,81878.24132850874,82070.71892907741
2023-11-19,Comp_A_RetailFusion,82048.46981402618,81947.4544603097,82150.07341863976
2023-11-20,Comp_A_RetailFusion,82135.72082742468,82041.10336561441,82235.71464280708
2023-11-21,Comp_A_RetailFusion,82221.92912001161,82126.0521723187,82322.58621778604
2023-11-23,Comp_A_RetailFusion,82391.6432276216,82288.13689935632,82493.98900313757
2023-11-24,Comp_A_RetailFusion,82475.02900139398,82376.03199095186,82562.79446314443
2023-11-25,Comp_A_RetailFusion,82561.02288460493,82462.11934601536,82666.26871131262
2023-11-26,Comp_A_RetailFusion,82639.64315639531,82542.43915953398,82741.06053467267
2023-11-28,Comp_A_RetailFusion,82821.39469200735,82722.5857835832,82923.04698904399
2023-11-30,Comp_A_RetailFusion,82994.24236968618,82891.39969975434,83097.04318538302
2023-12-02,Comp_A_RetailFusion,83161.99238812517,83060.17930204119,83257.79558583011
2023-12-03,Comp_A_RetailFusion,83238.24392026705,83138.1069939493,83341.96511041177
2023-12-04,Comp_A_RetailFusion,83327.05650883372,83225.57138164251,83431.6446116944
2023-12-06,Comp_A_RetailFusion,83503.90639033425,83402.47901253453,83604.88574045984
2023-12-07,Comp_A_RetailFusion,83576.21166348371,83477.04283061305,83679.03663028376
2023-12-09,Comp_A_RetailFusion,83724.54854695605,83631.70149157026,83827.46468482314
2023-12-11,Comp_A_RetailFusion,83870.67952798943,83773.43493251373,83961.8707352301
2023-12-12,Comp_A_RetailFusion,83947.52105782086,83849.00713099366,84044.79265846829
2023-12-13,Comp_A_RetailFusion,84030.28052391681,83924.21540693531,84123.3998951397
2023-12-14,Comp_A_RetailFusion,84094.89378256991,83998.02371439224,84194.75760757335
2023-12-16,Comp_A_RetailFusion,84239.20838642966,84134.29019404949,84339.17664626027
2023-12-18,Comp_A_RetailFusion,84384.52976784222,84291.46906390345,84486.65400263752
2023-12-20,Comp_A_RetailFusion,84546.35609662604,84451.86228921752,84641.75834531304
2023-12-22,Comp_A_RetailFusion,84686.6274866806,84583.44652545861,84791.79512858634
2023-12-23,Comp_A_RetailFusion,84762.80388341655,84663.52947929947,84875.17075169667
2023-12-25,Comp_A_RetailFusion,84914.31172722652,84815.96166070698,85013.37499650588
2023-12-27,Comp_A_RetailFusion,85081.66805945808,84978.46301086611,85178.0128414712
2023-12-29,Comp_A_RetailFusion,85225.38958696886,85129.86132569637,85323.81181257122
2023-12-30,Comp_A_RetailFusion,85302.10234194115,85194.02762686588,85398.99889650113
2024-01-01,Comp_A_RetailFusion,85451.64838116884,85351.95101521049,85546.33355419316
2024-01-03,Comp_A_RetailFusion,85612.43854868208,85512.36113379573,85713.35316511978
2024-01-04,Comp_A_RetailFusion,85676.38622953826,85572.2862348573,85766.24550342957
2024-01-06,Comp_A_RetailFusion,85815.00278002648,85717.52698800595,85916.21605483862
2024-01-07,Comp_A_RetailFusion,85875.40557701523,85774.01244778276,85979.98899659792
2024-01-09,Comp_A_RetailFusion,86015.81015738678,85913.09005842566,86120.12900883405
2024-01-10,Comp_A_RetailFusion,86088.7037695864,85988.39602056,86194.37016142395
2024-01-12,Comp_A_RetailFusion,86200.64606392094,86108.86598889182,86298.99467934166
2024-01-13,Comp_A_RetailFusion,86260.15179935902,86167.8451611083,86362.0081349916
2024-01-15,Comp_A_RetailFusion,86374.6503166068,86279.09305495166,86476.17887513233
2024-01-17,Comp_A_RetailFusion,86502.63412375012,86396.37793264443,86594.66770877819
2024-01-18,Comp_A_RetailFusion,86551.95659121848,86452.46827257586,86648.85185453904
2024-01-20,Comp_A_RetailFusion,86667.90825705751,86566.8194614829,86764.00964389014
2024-01-21,Comp_A_RetailFusion,86721.18829549018,86613.05233204231,86820.13177380397
2024-01-22,Comp_A_RetailFusion,86789.5533270248,86693.04138751913,86892.18649722451
2024-01-24,Comp_A_RetailFusion,86934.5466792999,86835.11971344231,87026.61077238485
2024-01-25,Comp_A_RetailFusion,86996.04444948946,86897.16383839618,87097.8283081523
2024-01-27,Comp_A_RetailFusion,87143.15175775267,87042.50136524568,87245.33607132154
2024-01-29,Comp_A_RetailFusion,87303.64668268786,87203.6306575383,87401.42701292256
2024-01-31,Comp_A_RetailFusion,87492.9599220178,87393.27537358993,87589.96772305698
2024-02-01,Comp_A_RetailFusion,87577.79063520853,87477.08756187803,87678.05996616613
2024-02-03,Comp_A_RetailFusion,87771.92491612147,87667.47300600592,87875.39752439786
2024-02-04,Comp_A_RetailFusion,87866.67139281624,87767.39810476892,87968.15194982334
2024-02-06,Comp_A_RetailFusion,88087.54231083198,87989.34320298884,88189.34906908993
2024-02-07,Comp_A_RetailFusion,88205.74727106835,88100.99846125716,88310.52717895454
2024-02-08,Comp_A_RetailFusion,88307.19184768203,88215.4530540952,88408.5933147354
2024-02-09,Comp_A_RetailFusion,88415.86761102565,88321.68877928267,88513.19346341776
2024-02-10,Comp_A_RetailFusion,88527.0050506595,88426.55356657381,88619.70713829972
2024-02-12,Comp_A_RetailFusion,88746.40636889041,88653.33755994526,88852.70241475326
2024-02-14,Comp_A_RetailFusion,88976.56571100115,88881.19650351918,89079.3498156466
2024-02-16,Comp_A_RetailFusion,89175.81743989178,89078.37802355044,89275.21472428559
2024-02-17,Comp_A_RetailFusion,89277.1327660589,89174.60178528455,89380.76679125938
2024-02-18,Comp_A_RetailFusion,89367.99963306548,89261.25238660589,89464.28453180612
2024-02-19,Comp_A_RetailFusion,89469.21731886969,89371.53846245614,89571.47446507047
2024-02-21,Comp_A_RetailFusion,89671.72830432632,89565.95929372983,89773.95410693366
2024-02-23,Comp_A_RetailFusion,89838.16379931002,89742.1510339842,89938.09385532385
2024-02-24,Comp_A_RetailFusion,89922.1764487127,89819.45730978767,90021.99272205132
2024-02-26,Comp_A_RetailFusion,90080.0152933079,89977.63619485802,90179.50759256934
2024-02-27,Comp_A_RetailFusion,90159.74459517906,90058.19628814008,90252.71661526989
2024-02-29,Comp_A_RetailFusion,90307.94033494749,90212.06372985612,90409.91185605888
2024-03-01,Comp_A_RetailFusion,90377.38362183163,90275.42602104116,90472.96250811068
2024-03-03,Comp_A_RetailFusion,90510.62630316148,90408.34332189093,90609.5291382465
2024-03-05,Comp_A_RetailFusion,90660.16783996616,90563.29301815528,90759.36720407697
2024-03-06,Comp_A_RetailFusion,90740.71959253748,90638.9810177784,90837.7031253269
2024-03-08,Comp_A_RetailFusion,90875.28503385987,90771.5906686826,90968.59434366916
2024-03-10,Comp_A_RetailFusion,91018.617730134,90909.23984212065,91113.05654546012
2024-03-12,Comp_A_RetailFusion,91185.74754400105,91081.02134498481,91279.00548551488
2024-03-14,Comp_A_RetailFusion,91352.49738388153,91259.33461116317,91453.53812086834
2024-03-16,Comp_A_RetailFusion,91523.44827343572,91422.41644317486,91622.58018643815
2024-03-18,Comp_A_RetailFusion,91700.68955451903,91589.92943403046,91802.90107446816
2024-03-19,Comp_A_RetailFusion,91799.85667677726,91695.1898222452,91900.90626148439
2024-03-20,Comp_A_RetailFusion,91906.06958586223,91800.21662177812,92014.85313966782
2024-03-21,Comp_A_RetailFusion,91994.87011128596,91894.86481003198,92104.84944501329
2024-03-23,Comp_A_RetailFusion,92188.15193939357,92087.9376288341,92289.75911707178
2024-03-25,Comp_A_RetailFusion,92380.65296907153,92279.96584839417,92484.2683269791
2024-03-26,Comp_A_RetailFusion,92480.30908350674,92376.75578098842,92581.99221171603
2024-03-27,Comp_A_RetailFusion,92585.17568822613,92480.0361265358,92683.76575080528
2024-03-28,Comp_A_RetailFusion,92670.87443055127,92569.1720218033,92766.42943099342
2024-03-30,Comp_A_RetailFusion,92853.22466484563,92752.58246427236,92953.91957018756
2024-04-01,Comp_A_RetailFusion,93029.75812619945,92926.2121876711,93135.23716616875
2024-04-02,Comp_A_RetailFusion,93120.12514518104,93017.01888814784,93221.26579644466
2024-04-03,Comp_A_RetailFusion,93215.18178390557,93117.64179527946,93319.89369461825
2024-04-05,Comp_A_RetailFusion,93371.61248630569,93271.4633610338,93467.79392541255
2024-04-07,Comp_A_RetailFusion,93526.56615664755,93421.89388983042,93628.82371221608
2024-04-09,Comp_A_RetailFusion,93695.21344317959,93592.70018542054,93785.86676763547
2024-04-11,Comp_A_RetailFusion,93854.572319526,93753.15843280643,93951.19949882523
2024-04-13,Comp_A_RetailFusion,93975.00012959319,93875.25438334458,94069.41910846026
2024-04-15,Comp_A_RetailFusion,94097.51312103642,94000.40769428425,94200.41096044124
2024-04-17,Comp_A_RetailFusion,94238.18435013683,94134.83023551635,94337.27244087205
2024-04-19,Comp_A_RetailFusion,94359.42168940547,94262.42986032338,94463.3781724631
2024-04-21,Comp_A_RetailFusion,94487.97421308424,94393.83537326829,94585.79542489775
2024-04-22,Comp_A_RetailFusion,94563.30752552253,94461.992643582,94663.04442991047
2024-04-23,Comp_A_RetailFusion,94637.31884268636,94533.16553278893,94742.69027184568
2024-04-24,Comp_A_RetailFusion,94718.34768772745,94620.42762836143,94819.52027081541
2024-04-26,Comp_A_RetailFusion,94852.81439897428,94754.56653950513,94959.12849112482
2024-04-27,Comp_A_RetailFusion,94926.09136959375,94823.90934621912,95025.99532149729
2024-04-29,Comp_A_RetailFusion,95071.20942228894,94968.14239209988,95172.04484932502
2024-04-30,Comp_A_RetailFusion,95148.09035600425,95041.1335398845,95245.80876613977
2024-05-02,Comp_A_RetailFusion,95295.18478381245,95197.74135077719,95399.98444860626
