Competitor_handle,ds,follower_count,avg_engagement_rate
Comp_A_RetailFusion,2023-03-14,61092.5,0.0207
Comp_A_RetailFusion,2023-03-15,61220.5,0.0078
Comp_A_RetailFusion,2023-03-16,61288.5,0.0184
Comp_A_RetailFusion,2023-03-17,61324.5,0.0182
Comp_A_RetailFusion,2023-03-19,61419.5,0.0134
Comp_A_RetailFusion,2023-03-21,61523.5,0.0143
Comp_A_RetailFusion,2023-03-23,61634.5,0.0086
Comp_A_RetailFusion,2023-03-24,61729.5,0.021
Comp_A_RetailFusion,2023-03-26,61770.5,0.0195
Comp_A_RetailFusion,2023-03-27,61886.5,0.0093
Comp_A_RetailFusion,2023-03-29,61977.5,0.006
Comp_A_RetailFusion,2023-03-31,62129.5,0.0087
Comp_A_RetailFusion,2023-04-01,62200.5,0.0196
Comp_A_RetailFusion,2023-04-03,62310.5,0.0111
Comp_A_RetailFusion,2023-04-05,62515.5,0.0069
Comp_A_RetailFusion,2023-04-06,62639.5,0.0211
Comp_A_RetailFusion,2023-04-08,62861.5,0.0164
Comp_A_RetailFusion,2023-04-10,63090.5,0.0078
Comp_A_RetailFusion,2023-04-12,63133.5,0.0194
Comp_A_RetailFusion,2023-04-14,63262.5,0.008
Comp_A_RetailFusion,2023-04-16,63372.5,0.0137
Comp_A_RetailFusion,2023-04-18,63488.5,0.0183
Comp_A_RetailFusion,2023-04-19,63643.5,0.0075
Comp_A_RetailFusion,2023-04-20,63834.5,0.0163
Comp_A_RetailFusion,2023-04-22,63941.5,0.0092
Comp_A_RetailFusion,2023-04-23,64117.5,0.019
Comp_A_RetailFusion,2023-04-24,64158.5,0.0204
Comp_A_RetailFusion,2023-04-25,64295.5,0.011
Comp_A_RetailFusion,2023-04-26,64442.5,0.0196
Comp_A_RetailFusion,2023-04-27,64538.5,0.0198
Comp_A_RetailFusion,2023-04-29,64604.5,0.0185
Comp_A_RetailFusion,2023-04-30,64696.5,0.0128
Comp_A_RetailFusion,2023-05-01,64896.5,0.0211
Comp_A_RetailFusion,2023-05-03,65016.5,0.0121
Comp_A_RetailFusion,2023-05-05,65111.5,0.0145
Comp_A_RetailFusion,2023-05-06,65291.5,0.0183
Comp_A_RetailFusion,2023-05-08,65415.5,0.0131
Comp_A_RetailFusion,2023-05-10,65582.5,0.0071
Comp_A_RetailFusion,2023-05-11,65677.5,0.0196
Comp_A_RetailFusion,2023-05-12,65901.5,0.0074
Comp_A_RetailFusion,2023-05-13,65962.5,0.0143
Comp_A_RetailFusion,2023-05-15,66085.5,0.0081
Comp_A_RetailFusion,2023-05-17,66253.5,0.0179
Comp_A_RetailFusion,2023-05-19,66448.5,0.0069
Comp_A_RetailFusion,2023-05-21,66624.5,0.014
Comp_A_RetailFusion,2023-05-23,66845.5,0.0066
Comp_A_RetailFusion,2023-05-24,66961.5,0.0212
Comp_A_RetailFusion,2023-05-26,67020.5,0.0137
Comp_A_RetailFusion,2023-05-28,67066.5,0.0117
Comp_A_RetailFusion,2023-05-29,67147.5,0.0058
Comp_A_RetailFusion,2023-05-31,67202.5,0.0102
Comp_A_RetailFusion,2023-06-02,67369.5,0.0178
Comp_A_RetailFusion,2023-06-03,67468.5,0.0096
Comp_A_RetailFusion,2023-06-04,67685.5,0.0129
Comp_A_RetailFusion,2023-06-05,67783.5,0.0163
Comp_A_RetailFusion,2023-06-06,67936.5,0.0153
Comp_A_RetailFusion,2023-06-07,68068.5,0.0184
Comp_A_RetailFusion,2023-06-09,68207.5,0.013
Comp_A_RetailFusion,2023-06-11,68352.5,0.0166
Comp_A_RetailFusion,2023-06-13,68432.5,0.0233
Comp_A_RetailFusion,2023-06-15,68643.5,0.0137
Comp_A_RetailFusion,2023-06-16,68703.5,0.0072
Comp_A_RetailFusion,2023-06-17,68780.5,0.0211
Comp_A_RetailFusion,2023-06-19,68907.5,0.0081
Comp_A_RetailFusion,2023-06-20,69035.5,0.0089
Comp_A_RetailFusion,2023-06-22,69170.5,0.0112
Comp_A_RetailFusion,2023-06-24,69273.5,0.0103
Comp_A_RetailFusion,2023-06-25,69413.5,0.0086
Comp_A_RetailFusion,2023-06-26,69514.5,0.0195
Comp_A_RetailFusion,2023-06-28,69688.5,0.0099
Comp_A_RetailFusion,2023-06-30,69827.5,0.009
Comp_A_RetailFusion,2023-07-02,69986.5,0.0116
Comp_A_RetailFusion,2023-07-04,70130.0,0.0139
Comp_A_RetailFusion,2023-07-06,70209.0,0.0209
Comp_A_RetailFusion,2023-07-07,70241.0,0.0145
Comp_A_RetailFusion,2023-07-09,70277.5,0.0111
Comp_A_RetailFusion,2023-07-11,70339.5,0.018
Comp_A_RetailFusion,2023-07-13,70478.0,0.0144
Comp_A_RetailFusion,2023-07-14,70597.5,0.0141
Comp_A_RetailFusion,2023-07-16,70644.5,0.0069
Comp_A_RetailFusion,2023-07-17,70820.0,0.0195
Comp_A_RetailFusion,2023-07-19,70977.5,0.0141
Comp_A_RetailFusion,2023-07-21,71063.5,0.0064
Comp_A_RetailFusion,2023-07-22,71256.0,0.0108
Comp_A_RetailFusion,2023-07-23,71301.0,0.0071
Comp_A_RetailFusion,2023-07-25,71442.0,0.0187
Comp_A_RetailFusion,2023-07-26,71510.0,0.0156
Comp_A_RetailFusion,2023-07-27,71549.5,0.0084
Comp_A_RetailFusion,2023-07-29,71624.0,0.0157
Comp_A_RetailFusion,2023-07-30,71802.0,0.0072
Comp_A_RetailFusion,2023-08-01,71900.0,0.0104
Comp_A_RetailFusion,2023-08-03,72128.0,0.013
Comp_A_RetailFusion,2023-08-05,72306.0,0.0198
Comp_A_RetailFusion,2023-08-07,72437.0,0.0152
Comp_A_RetailFusion,2023-08-09,72629.0,0.0163
Comp_A_RetailFusion,2023-08-11,72754.0,0.0102
Comp_A_RetailFusion,2023-08-12,72926.0,0.0083
Comp_A_RetailFusion,2023-08-14,73156.0,0.0066
Comp_A_RetailFusion,2023-08-15,73203.0,0.02
Comp_A_RetailFusion,2023-08-17,73320.0,0.0152
Comp_A_RetailFusion,2023-08-18,73506.0,0.0112
Comp_A_RetailFusion,2023-08-20,73638.0,0.0173
Comp_A_RetailFusion,2023-08-21,73771.0,0.0107
Comp_A_RetailFusion,2023-08-23,73990.0,0.0148
Comp_A_RetailFusion,2023-08-25,74059.0,0.0196
Comp_A_RetailFusion,2023-08-27,74220.0,0.0149
Comp_A_RetailFusion,2023-08-29,74312.0,0.0198
Comp_A_RetailFusion,2023-08-30,74526.0,0.0053
Comp_A_RetailFusion,2023-08-31,74639.0,0.0195
Comp_A_RetailFusion,2023-09-01,74799.0,0.0097
Comp_A_RetailFusion,2023-09-03,74955.0,0.011
Comp_A_RetailFusion,2023-09-05,75085.0,0.0182
Comp_A_RetailFusion,2023-09-07,75270.0,0.0168
Comp_A_RetailFusion,2023-09-09,75374.0,0.016
Comp_A_RetailFusion,2023-09-10,75510.0,0.0163
Comp_A_RetailFusion,2023-09-12,75652.0,0.0143
Comp_A_RetailFusion,2023-09-14,75779.0,0.0096
Comp_A_RetailFusion,2023-09-15,75844.0,0.0162
Comp_A_RetailFusion,2023-09-16,75974.0,0.0131
Comp_A_RetailFusion,2023-09-18,76133.0,0.02
Comp_A_RetailFusion,2023-09-20,76263.0,0.0115
Comp_A_RetailFusion,2023-09-21,76414.0,0.0066
Comp_A_RetailFusion,2023-09-22,76504.0,0.0076
Comp_A_RetailFusion,2023-09-24,76649.0,0.0098
Comp_A_RetailFusion,2023-09-26,76775.0,0.0146
Comp_A_RetailFusion,2023-09-28,76843.0,0.0145
Comp_A_RetailFusion,2023-09-29,76950.0,0.0188
Comp_A_RetailFusion,2023-10-01,77163.0,0.0127
Comp_A_RetailFusion,2023-10-02,77245.0,0.0105
Comp_A_RetailFusion,2023-10-03,77459.0,0.0184
Comp_A_RetailFusion,2023-10-04,77603.0,0.0215
Comp_A_RetailFusion,2023-10-05,77770.0,0.0203
Comp_A_RetailFusion,2023-10-06,77903.0,0.0181
Comp_A_RetailFusion,2023-10-07,78086.0,0.0064
Comp_A_RetailFusion,2023-10-08,78226.0,0.006
Comp_A_RetailFusion,2023-10-10,78372.0,0.0147
Comp_A_RetailFusion,2023-10-12,78482.0,0.0202
Comp_A_RetailFusion,2023-10-14,78675.0,0.0167
Comp_A_RetailFusion,2023-10-16,78833.0,0.0079
Comp_A_RetailFusion,2023-10-17,78986.0,0.0089
Comp_A_RetailFusion,2023-10-19,79105.0,0.008
Comp_A_RetailFusion,2023-10-20,79206.0,0.0197
Comp_A_RetailFusion,2023-10-21,79418.0,0.0194
Comp_A_RetailFusion,2023-10-23,79595.0,0.0173
Comp_A_RetailFusion,2023-10-24,79786.0,0.007
Comp_A_RetailFusion,2023-10-26,79908.0,0.006
Comp_A_RetailFusion,2023-10-27,80063.0,0.0195
Comp_A_RetailFusion,2023-10-28,80242.0,0.0153
Comp_A_RetailFusion,2023-10-29,80356.0,0.0127
Comp_A_RetailFusion,2023-10-30,80537.0,0.017
Comp_A_RetailFusion,2023-11-01,80610.0,0.0148
Comp_A_RetailFusion,2023-11-03,80780.0,0.0161
Comp_A_RetailFusion,2023-11-04,80926.0,0.007
Comp_A_RetailFusion,2023-11-06,80976.0,0.0143
Comp_A_RetailFusion,2023-11-08,81098.0,0.0149
Comp_A_RetailFusion,2023-11-10,81153.0,0.0116
Comp_A_RetailFusion,2023-11-11,81302.0,0.0218
Comp_A_RetailFusion,2023-11-12,81374.0,0.0058
Comp_A_RetailFusion,2023-11-13,81409.0,0.0094
Comp_A_RetailFusion,2023-11-15,81569.0,0.0082
Comp_A_RetailFusion,2023-11-16,81715.0,0.0081
Comp_A_RetailFusion,2023-11-18,81875.0,0.0225
Comp_A_RetailFusion,2023-11-19,81988.0,0.0123
Comp_A_RetailFusion,2023-11-20,82076.0,0.0076
Comp_A_RetailFusion,2023-11-21,82283.0,0.006
Comp_A_RetailFusion,2023-11-23,82363.0,0.0168
Comp_A_RetailFusion,2023-11-24,82558.0,0.0163
Comp_A_RetailFusion,2023-11-25,82647.0,0.0103
Comp_A_RetailFusion,2023-11-26,82753.0,0.006
Comp_A_RetailFusion,2023-11-28,82798.0,0.0117
Comp_A_RetailFusion,2023-11-30,82931.0,0.0146
Comp_A_RetailFusion,2023-12-02,83063.0,0.0124
Comp_A_RetailFusion,2023-12-03,83219.0,0.0087
Comp_A_RetailFusion,2023-12-04,83280.0,0.0143
Comp_A_RetailFusion,2023-12-06,83435.0,0.0088
Comp_A_RetailFusion,2023-12-07,83597.0,0.0142
Comp_A_RetailFusion,2023-12-09,83733.0,0.0083
Comp_A_RetailFusion,2023-12-11,83823.0,0.015
Comp_A_RetailFusion,2023-12-12,83951.0,0.0106
Comp_A_RetailFusion,2023-12-13,84069.0,0.0164
Comp_A_RetailFusion,2023-12-14,84167.0,0.0104
Comp_A_RetailFusion,2023-12-16,84280.0,0.0136
Comp_A_RetailFusion,2023-12-18,84391.0,0.0144
Comp_A_RetailFusion,2023-12-20,84456.0,0.0098
Comp_A_RetailFusion,2023-12-22,84655.0,0.0208
Comp_A_RetailFusion,2023-12-23,84808.0,0.0135
Comp_A_RetailFusion,2023-12-25,85003.0,0.0139
Comp_A_RetailFusion,2023-12-27,85134.0,0.0161
Comp_A_RetailFusion,2023-12-29,85243.0,0.0162
Comp_A_RetailFusion,2023-12-30,85369.0,0.0093
Comp_A_RetailFusion,2024-01-01,85443.5,0.0143
Comp_A_RetailFusion,2024-01-03,85579.5,0.006
Comp_A_RetailFusion,2024-01-04,85657.0,0.0143
Comp_A_RetailFusion,2024-01-06,85717.0,0.0197
Comp_A_RetailFusion,2024-01-07,85840.0,0.0139
Comp_A_RetailFusion,2024-01-09,85929.5,0.0143
Comp_A_RetailFusion,2024-01-10,86041.0,0.0198
Comp_A_RetailFusion,2024-01-12,86104.5,0.01
Comp_A_RetailFusion,2024-01-13,86239.0,0.0068
Comp_A_RetailFusion,2024-01-15,86406.5,0.0079
Comp_A_RetailFusion,2024-01-17,86515.0,0.0059
Comp_A_RetailFusion,2024-01-18,86553.5,0.0189
Comp_A_RetailFusion,2024-01-20,86612.5,0.0164
Comp_A_RetailFusion,2024-01-21,86663.5,0.0179
Comp_A_RetailFusion,2024-01-22,86780.5,0.0134
Comp_A_RetailFusion,2024-01-24,86946.5,0.0171
Comp_A_RetailFusion,2024-01-25,87034.5,0.0114
Comp_A_RetailFusion,2024-01-27,87180.0,0.0117
Comp_A_RetailFusion,2024-01-29,87311.5,0.0193
Comp_A_RetailFusion,2024-01-31,87379.0,0.0135
Comp_A_RetailFusion,2024-02-01,87587.0,0.0208
Comp_A_RetailFusion,2024-02-03,87768.0,0.0121
Comp_A_RetailFusion,2024-02-04,87942.0,0.0149
Comp_A_RetailFusion,2024-02-06,87974.0,0.0069
Comp_A_RetailFusion,2024-02-07,88161.0,0.0232
Comp_A_RetailFusion,2024-02-08,88335.0,0.012
Comp_A_RetailFusion,2024-02-09,88492.0,0.0064
Comp_A_RetailFusion,2024-02-10,88612.0,0.0083
Comp_A_RetailFusion,2024-02-12,88834.0,0.0179
Comp_A_RetailFusion,2024-02-14,89006.0,0.0096
Comp_A_RetailFusion,2024-02-16,89207.0,0.0125
Comp_A_RetailFusion,2024-02-17,89327.0,0.017
Comp_A_RetailFusion,2024-02-18,89365.0,0.0188
Comp_A_RetailFusion,2024-02-19,89574.0,0.017
Comp_A_RetailFusion,2024-02-21,89666.0,0.0174
Comp_A_RetailFusion,2024-02-23,89780.0,0.0124
Comp_A_RetailFusion,2024-02-24,89837.0,0.0149
Comp_A_RetailFusion,2024-02-26,89984.0,0.0089
Comp_A_RetailFusion,2024-02-27,90046.0,0.0194
Comp_A_RetailFusion,2024-02-29,90138.0,0.0103
Comp_A_RetailFusion,2024-03-01,90294.0,0.0156
Comp_A_RetailFusion,2024-03-03,90456.0,0.0149
Comp_A_RetailFusion,2024-03-05,90635.0,0.0188
Comp_A_RetailFusion,2024-03-06,90855.0,0.0088
Comp_A_RetailFusion,2024-03-08,90911.0,0.0086
Comp_A_RetailFusion,2024-03-10,90962.0,0.0159
Comp_A_RetailFusion,2024-03-12,91117.0,0.0067
Comp_A_RetailFusion,2024-03-14,91355.0,0.0185
Comp_A_RetailFusion,2024-03-16,91438.0,0.0208
Comp_A_RetailFusion,2024-03-18,91554.0,0.0063
Comp_A_RetailFusion,2024-03-19,91721.0,0.0187
Comp_A_RetailFusion,2024-03-20,91818.0,0.011
Comp_A_RetailFusion,2024-03-21,92032.0,0.0076
Comp_A_RetailFusion,2024-03-23,92266.0,0.0141
Comp_A_RetailFusion,2024-03-25,92362.0,0.0081
Comp_A_RetailFusion,2024-03-26,92499.0,0.0071
Comp_A_RetailFusion,2024-03-27,92681.0,0.0192
Comp_A_RetailFusion,2024-03-28,92828.0,0.0136
Comp_A_RetailFusion,2024-03-30,92952.0,0.0135
Comp_A_RetailFusion,2024-04-01,93035.0,0.0082
Comp_A_RetailFusion,2024-04-02,93230.0,0.0175
Comp_A_RetailFusion,2024-04-03,93349.0,0.0198
Comp_A_RetailFusion,2024-04-05,93414.0,0.0189
Comp_A_RetailFusion,2024-04-07,93515.0,0.0154
Comp_A_RetailFusion,2024-04-09,93685.0,0.0135
Comp_A_RetailFusion,2024-04-11,93741.0,0.0085
Comp_A_RetailFusion,2024-04-13,93918.0,0.0176
Comp_A_RetailFusion,2024-04-15,93997.0,0.0122
Comp_A_RetailFusion,2024-04-17,94180.0,0.0165
Comp_A_RetailFusion,2024-04-19,94292.0,0.019
Comp_A_RetailFusion,2024-04-21,94357.0,0.0075
Comp_A_RetailFusion,2024-04-22,94530.0,0.0143
Comp_A_RetailFusion,2024-04-23,94641.0,0.0063
Comp_A_RetailFusion,2024-04-24,94831.0,0.0196
Comp_A_RetailFusion,2024-04-26,94929.0,0.0174
Comp_A_RetailFusion,2024-04-27,95008.0,0.0221
Comp_A_RetailFusion,2024-04-29,95053.0,0.0097
Comp_A_RetailFusion,2024-04-30,95225.0,0.0209
Comp_A_RetailFusion,2024-05-02,95299.0,0.0134
Comp_A_RetailFusion,2024-05-04,95346.0,0.0104
Comp_A_RetailFusion,2024-05-05,95510.0,0.0173
Comp_A_RetailFusion,2024-05-06,95615.0,0.0113
Comp_A_RetailFusion,2024-05-07,95729.0,0.0151
Comp_A_RetailFusion,2024-05-09,95783.0,0.0075
Comp_A_RetailFusion,2024-05-11,95931.0,0.0093
Comp_A_RetailFusion,2024-05-12,96056.0,0.0208
Comp_A_RetailFusion,2024-05-13,96182.0,0.0154
Comp_A_RetailFusion,2024-05-15,96213.0,0.0197
Comp_A_RetailFusion,2024-05-17,96287.0,0.0067
Comp_A_RetailFusion,2024-05-18,96463.0,0.0186
Comp_A_RetailFusion,2024-05-20,96545.0,0.0089
Comp_A_RetailFusion,2024-05-22,96712.0,0.012
Comp_A_RetailFusion,2024-05-23,96904.0,0.0069
Comp_A_RetailFusion,2024-05-24,96982.0,0.0205
Comp_A_RetailFusion,2024-05-25,97133.0,0.0151
Comp_A_RetailFusion,2024-05-27,97277.0,0.0112
Comp_A_RetailFusion,2024-05-28,97374.0,0.0068
Comp_A_RetailFusion,2024-05-29,97543.0,0.0197
Comp_A_RetailFusion,2024-05-30,97698.0,0.0063
Comp_A_RetailFusion,2024-06-01,97775.0,0.0198
Comp_A_RetailFusion,2024-06-02,97848.0,0.0134
Comp_A_RetailFusion,2024-06-04,97914.0,0.0175
Comp_A_RetailFusion,2024-06-05,98011.0,0.0168
Comp_A_RetailFusion,2024-06-07,98182.0,0.0159
Comp_A_RetailFusion,2024-06-09,98247.0,0.0209
Comp_A_RetailFusion,2024-06-10,98335.0,0.0077
Comp_A_RetailFusion,2024-06-12,98475.0,0.0211
Comp_A_RetailFusion,2024-06-13,98650.0,0.0109
Comp_A_RetailFusion,2024-06-15,98798.0,0.0112
Comp_A_RetailFusion,2024-06-16,98969.0,0.0221
Comp_A_RetailFusion,2024-06-18,99056.0,0.0177
Comp_A_RetailFusion,2024-06-19,99175.0,0.022
Comp_A_RetailFusion,2024-06-20,99253.0,0.0129
Comp_A_RetailFusion,2024-06-21,99316.0,0.0196
Comp_A_RetailFusion,2024-06-23,99551.0,0.022
Comp_A_RetailFusion,2024-06-24,99666.0,0.0085
Comp_A_RetailFusion,2024-06-26,99770.0,0.0182
Comp_A_RetailFusion,2024-06-27,99836.0,0.0147
Comp_A_RetailFusion,2024-06-29,99896.0,0.0152
Comp_A_RetailFusion,2024-07-01,100040.0,0.0111
Comp_A_RetailFusion,2024-07-03,100189.5,0.0106
Comp_A_RetailFusion,2024-07-05,100306.0,0.0074
Comp_A_RetailFusion,2024-07-06,100419.0,0.0166
Comp_A_RetailFusion,2024-07-07,100573.0,0.0141
Comp_A_RetailFusion,2024-07-08,100720.0,0.0071
Comp_A_RetailFusion,2024-07-09,100846.5,0.0212
Comp_A_RetailFusion,2024-07-10,100983.5,0.0192
Comp_A_RetailFusion,2024-07-11,101076.5,0.017
Comp_A_RetailFusion,2024-07-12,101245.5,0.0136
Comp_A_RetailFusion,2024-07-13,101328.5,0.0197
Comp_A_RetailFusion,2024-07-14,101458.5,0.0129
Comp_A_RetailFusion,2024-07-16,101613.0,0.0184
Comp_A_RetailFusion,2024-07-17,101701.5,0.0186
Comp_A_RetailFusion,2024-07-18,101733.5,0.0133
Comp_A_RetailFusion,2024-07-19,101840.0,0.0163
Comp_A_RetailFusion,2024-07-21,101957.0,0.0123
Comp_A_RetailFusion,2024-07-23,102088.5,0.0172
Comp_A_RetailFusion,2024-07-24,102184.5,0.0075
Comp_A_RetailFusion,2024-07-25,102272.5,0.0131
Comp_A_RetailFusion,2024-07-26,102347.5,0.0199
Comp_A_RetailFusion,2024-07-28,102413.0,0.0075
Comp_A_RetailFusion,2024-07-30,102502.5,0.0222
Comp_A_RetailFusion,2024-07-31,102628.0,0.0169
Comp_A_RetailFusion,2024-08-01,102698.0,0.0148
Comp_A_RetailFusion,2024-08-02,102850.0,0.0068
Comp_A_RetailFusion,2024-08-04,102976.0,0.0072
Comp_A_RetailFusion,2024-08-05,103084.0,0.0069
Comp_A_RetailFusion,2024-08-06,103147.0,0.0061
Comp_A_RetailFusion,2024-08-08,103371.0,0.0096
Comp_A_RetailFusion,2024-08-09,103468.0,0.0184
Comp_A_RetailFusion,2024-08-11,103663.0,0.0127
Comp_A_RetailFusion,2024-08-12,103811.0,0.01
Comp_A_RetailFusion,2024-08-14,103936.0,0.0131
Comp_A_RetailFusion,2024-08-16,104009.0,0.0118
Comp_A_RetailFusion,2024-08-18,104078.0,0.0123
Comp_A_RetailFusion,2024-08-19,104188.0,0.021
Comp_A_RetailFusion,2024-08-20,104382.0,0.02
Comp_A_RetailFusion,2024-08-21,104490.0,0.0079
Comp_A_RetailFusion,2024-08-23,104630.0,0.0179
Comp_A_RetailFusion,2024-08-25,104685.0,0.0161
Comp_A_RetailFusion,2024-08-26,104820.0,0.0159
Comp_A_RetailFusion,2024-08-28,105047.0,0.008
Comp_A_RetailFusion,2024-08-30,105223.0,0.0056
Comp_A_RetailFusion,2024-09-01,105266.0,0.0155
Comp_A_RetailFusion,2024-09-03,105449.0,0.0174
Comp_A_RetailFusion,2024-09-05,105582.0,0.0074
Comp_A_RetailFusion,2024-09-06,105723.0,0.0065
Comp_A_RetailFusion,2024-09-08,105815.0,0.0189
Comp_A_RetailFusion,2024-09-09,105965.0,0.0109
Comp_A_RetailFusion,2024-09-11,106133.0,0.0159
Comp_A_RetailFusion,2024-09-12,106296.0,0.0167
Comp_A_RetailFusion,2024-09-13,106344.0,0.0119
Comp_A_RetailFusion,2024-09-14,106526.0,0.0199
Comp_A_RetailFusion,2024-09-16,106739.0,0.0216
Comp_A_RetailFusion,2024-09-17,106865.0,0.0131
Comp_A_RetailFusion,2024-09-19,106913.0,0.0124
Comp_A_RetailFusion,2024-09-21,106988.0,0.0132
Comp_A_RetailFusion,2024-09-22,107125.0,0.0165
Comp_A_RetailFusion,2024-09-23,107178.0,0.0121
Comp_A_RetailFusion,2024-09-24,107354.0,0.0206
Comp_A_RetailFusion,2024-09-26,107509.0,0.0206
Comp_A_RetailFusion,2024-09-27,107579.0,0.0132
Comp_A_RetailFusion,2024-09-28,107706.0,0.0188
Comp_A_RetailFusion,2024-09-29,107879.0,0.0165
Comp_A_RetailFusion,2024-10-01,107944.0,0.0139
Comp_A_RetailFusion,2024-10-03,108055.0,0.011
Comp_A_RetailFusion,2024-10-04,108215.0,0.0202
Comp_A_RetailFusion,2024-10-06,108364.0,0.0162
Comp_A_RetailFusion,2024-10-08,108426.0,0.0209
Comp_A_RetailFusion,2024-10-10,108626.0,0.0137
Comp_A_RetailFusion,2024-10-11,108716.0,0.016
Comp_A_RetailFusion,2024-10-13,108827.0,0.0169
Comp_A_RetailFusion,2024-10-14,108963.0,0.0081
Comp_A_RetailFusion,2024-10-16,109123.0,0.0064
Comp_A_RetailFusion,2024-10-18,109190.0,0.009
Comp_A_RetailFusion,2024-10-19,109241.0,0.0179
Comp_A_RetailFusion,2024-10-21,109391.0,0.0122
Comp_A_RetailFusion,2024-10-22,109418.0,0.0203
Comp_A_RetailFusion,2024-10-24,109515.0,0.0103
Comp_A_RetailFusion,2024-10-26,109639.0,0.0194
Comp_A_RetailFusion,2024-10-28,109733.0,0.0129
Comp_A_RetailFusion,2024-10-30,109793.0,0.0125
Comp_A_RetailFusion,2024-11-01,109826.0,0.0155
Comp_A_RetailFusion,2024-11-03,109950.0,0.0178
Comp_A_RetailFusion,2024-11-04,110032.0,0.0074
Comp_A_RetailFusion,2024-11-05,110150.0,0.0148
Comp_A_RetailFusion,2024-11-06,110243.0,0.0222
Comp_A_RetailFusion,2024-11-07,110296.0,0.0098
Comp_A_RetailFusion,2024-11-09,110419.0,0.019
Comp_A_RetailFusion,2024-11-10,110484.0,0.021
Comp_A_RetailFusion,2024-11-11,110595.0,0.0162
Comp_A_RetailFusion,2024-11-12,110702.0,0.019
Comp_A_RetailFusion,2024-11-13,110756.0,0.0185
Comp_A_RetailFusion,2024-11-14,110942.0,0.0143
Comp_A_RetailFusion,2024-11-16,111106.0,0.0219
Comp_A_RetailFusion,2024-11-18,111216.0,0.0061
Comp_A_RetailFusion,2024-11-19,111355.0,0.017
Comp_A_RetailFusion,2024-11-21,111528.0,0.0116
Comp_A_RetailFusion,2024-11-23,111759.0,0.0118
Comp_A_RetailFusion,2024-11-25,111939.0,0.0063
Comp_A_RetailFusion,2024-11-27,112020.0,0.0206
Comp_A_RetailFusion,2024-11-29,112227.0,0.0205
Comp_A_RetailFusion,2024-11-30,112338.0,0.0197
Comp_A_RetailFusion,2024-12-02,112431.0,0.0096
Comp_A_RetailFusion,2024-12-03,112444.0,0.0135
Comp_A_RetailFusion,2024-12-04,112562.0,0.0157
Comp_A_RetailFusion,2024-12-05,112675.0,0.015
Comp_A_RetailFusion,2024-12-07,112826.0,0.0156
